Order Date,Product Name,Category,Region,Quantity,Sales,Cost,Profit
6/6/2023,Mouse,Accessories,South,7,2842,2416.76,425.24
2/1/2024,Mouse,Accessories,East,4,3404,3011.78,392.22
5/31/2023,Smartwatch,Electronics,West,1,1065,836.37,228.63
6/14/2024,Tablet,Electronics,West,7,2149,2027.31,121.69
8/14/2024,Keyboard,Accessories,East,8,5912,4768.96,1143.04
2/1/2023,Mouse,Accessories,West,3,3348,3016.72,331.28
4/28/2024,Smartphone,Electronics,South,3,2409,1877.21,531.79
4/5/2024,Tablet,Electronics,North,2,328,288.49,39.51
1/31/2024,Smartphone,Electronics,West,8,6224,4662.58,1561.42
1/9/2024,Smartwatch,Electronics,North,5,2530,2043.91,486.09
4/6/2022,Headphones,Accessories,West,4,4108,3645.83,462.17
5/22/2024,Printer,Office,South,5,1640,1248.64,391.36
12/30/2023,Laptop,Electronics,South,1,111,91.67,19.33
3/17/2022,Headphones,Accessories,North,1,445,316.11,128.89
5/24/2022,Printer,Office,North,4,3600,2976.28,623.72
6/9/2024,Mouse,Accessories,North,3,1335,1158.56,176.44
12/1/2024,Keyboard,Accessories,South,5,3090,2847.85,242.15
10/20/2023,Printer,Office,East,5,3910,3371.48,538.52
3/5/2024,Camera,Electronics,South,1,219,186.33,32.67
12/5/2022,Smartphone,Electronics,West,5,390,362.23,27.77
8/5/2022,Laptop,Electronics,North,6,3294,2934.39,359.61
3/21/2023,Keyboard,Accessories,West,4,4572,3533.95,1038.05
2/8/2022,Monitor,Accessories,South,7,980,870.06,109.94
4/1/2023,Headphones,Accessories,North,2,2262,1729.88,532.12
12/14/2022,Camera,Electronics,South,7,7518,5862.09,1655.91
5/14/2022,Camera,Electronics,South,1,873,714.03,158.97
2/16/2022,Mouse,Accessories,North,6,1512,1088.97,423.03
8/28/2024,Laptop,Electronics,West,1,705,539.84,165.16
10/30/2023,Smartwatch,Electronics,North,8,3256,2722.3,533.7
6/24/2023,Tablet,Electronics,West,4,556,474.23,81.77
5/17/2023,Mouse,Accessories,East,9,7101,4995.18,2105.82
4/6/2023,Laptop,Electronics,West,9,8802,7457.04,1344.96
3/26/2023,Headphones,Accessories,South,6,5592,4297.84,1294.16
10/12/2024,Tablet,Electronics,North,2,1852,1683.08,168.92
6/26/2022,Monitor,Accessories,East,1,195,137.12,57.88
4/15/2022,Mouse,Accessories,East,9,7884,5829.98,2054.02
12/10/2023,Laptop,Electronics,East,5,4360,3199.45,1160.55
9/23/2024,Mouse,Accessories,North,6,4920,3990.82,929.18
1/1/2022,Mouse,Accessories,East,3,3474,2909,565
2/3/2022,Keyboard,Accessories,West,1,930,707.5,222.5
3/14/2023,Tablet,Electronics,South,7,1421,1172.98,248.02
8/24/2022,Headphones,Accessories,North,2,634,472.9,161.1
7/7/2024,Camera,Electronics,East,1,673,558.58,114.42
4/13/2022,Mouse,Accessories,South,5,3135,2347.3,787.7
5/8/2024,Smartphone,Electronics,East,6,882,697.52,184.48
9/10/2024,Smartphone,Electronics,East,4,1192,979.23,212.77
6/18/2024,Printer,Office,South,3,390,277.92,112.08
9/10/2024,Tablet,Electronics,North,1,834,738.46,95.54
5/6/2022,Smartphone,Electronics,East,6,612,528.25,83.75
6/18/2024,Headphones,Accessories,West,9,8073,7362.77,710.23
10/29/2023,Keyboard,Accessories,North,8,2640,1916.12,723.88
11/13/2023,Smartphone,Electronics,North,3,3234,2793.3,440.7
8/21/2022,Monitor,Accessories,West,5,4435,4079.49,355.51
3/4/2024,Smartwatch,Electronics,North,2,2302,1996.93,305.07
4/17/2022,Camera,Electronics,East,6,1728,1420.56,307.44
12/20/2023,Laptop,Electronics,East,4,228,173.95,54.05
3/19/2022,Tablet,Electronics,West,6,3450,2744.26,705.74
7/7/2024,Smartphone,Electronics,South,8,7456,5753.52,1702.48
4/30/2023,Smartphone,Electronics,West,6,4728,4022.15,705.85
3/22/2024,Smartwatch,Electronics,North,7,945,820.38,124.62
3/8/2022,Laptop,Electronics,North,4,296,230.95,65.05
9/15/2023,Smartphone,Electronics,West,4,640,490.11,149.89
3/1/2023,Tablet,Electronics,North,1,797,731.73,65.27
10/24/2023,Monitor,Accessories,North,4,1456,1024.11,431.89
4/22/2024,Monitor,Accessories,South,6,4038,3673.89,364.11
6/27/2023,Tablet,Electronics,West,7,5656,5300.19,355.81
4/13/2023,Mouse,Accessories,West,4,3876,3573.63,302.37
5/19/2023,Keyboard,Accessories,South,6,1002,887.3,114.7
11/15/2024,Headphones,Accessories,East,9,2187,1773.24,413.76
12/25/2023,Mouse,Accessories,North,6,7146,5518.58,1627.42
3/31/2022,Keyboard,Accessories,South,1,189,174.12,14.88
4/24/2024,Monitor,Accessories,East,5,940,673.98,266.02
1/10/2022,Headphones,Accessories,North,1,951,823.42,127.58
11/17/2022,Printer,Office,East,2,124,96.58,27.42
6/29/2024,Mouse,Accessories,West,9,7506,6911.72,594.28
11/14/2022,Monitor,Accessories,West,7,8176,5867.24,2308.76
8/11/2023,Smartphone,Electronics,East,5,2125,1492.32,632.68
5/22/2024,Headphones,Accessories,North,1,967,907.02,59.98
3/19/2022,Headphones,Accessories,South,5,270,240.59,29.41
10/23/2022,Keyboard,Accessories,West,9,10035,8548.7,1486.3
2/26/2023,Printer,Office,North,8,6792,5666.77,1125.23
10/3/2024,Printer,Office,East,1,714,614.87,99.13
7/17/2022,Smartphone,Electronics,South,5,765,607.36,157.64
11/4/2024,Headphones,Accessories,East,7,4221,3862.98,358.02
2/24/2023,Laptop,Electronics,North,4,2108,1531.52,576.48
8/8/2024,Monitor,Accessories,North,9,10530,8142.37,2387.63
5/14/2024,Keyboard,Accessories,South,6,3396,2481.83,914.17
1/15/2022,Monitor,Accessories,North,4,1060,846.95,213.05
5/10/2022,Tablet,Electronics,East,5,480,406.93,73.07
3/10/2022,Headphones,Accessories,West,3,2529,2243.35,285.65
1/23/2022,Smartwatch,Electronics,East,8,4792,4280.03,511.97
9/19/2024,Smartwatch,Electronics,East,8,8056,7450.2,605.8
6/6/2024,Tablet,Electronics,North,4,4228,3280.24,947.76
10/10/2024,Tablet,Electronics,East,1,653,559.22,93.78
3/24/2024,Tablet,Electronics,North,9,7452,6239.49,1212.51
7/21/2023,Mouse,Accessories,East,4,4128,2971.29,1156.71
7/21/2022,Tablet,Electronics,West,5,5090,3888.44,1201.56
9/1/2022,Camera,Electronics,North,5,4930,4542.67,387.33
4/20/2023,Smartwatch,Electronics,South,6,2610,2175.63,434.37
12/11/2023,Laptop,Electronics,North,3,2139,1723.16,415.84
9/29/2024,Tablet,Electronics,South,1,226,170.6,55.4
11/20/2023,Smartwatch,Electronics,West,2,2244,2031.92,212.08
7/15/2023,Monitor,Accessories,East,6,3150,2571.13,578.87
12/24/2023,Laptop,Electronics,South,7,3388,3040.81,347.19
8/13/2023,Laptop,Electronics,East,8,8736,8155.69,580.31
4/24/2022,Smartphone,Electronics,South,2,1102,925.47,176.53
7/13/2024,Monitor,Accessories,East,3,2640,2440.03,199.97
6/11/2022,Printer,Office,West,3,2547,2246.26,300.74
10/28/2024,Laptop,Electronics,North,7,728,663.18,64.82
11/24/2022,Camera,Electronics,South,7,3444,2836.56,607.44
10/3/2024,Camera,Electronics,West,5,3140,2286.34,853.66
3/24/2024,Smartphone,Electronics,East,3,435,305.73,129.27
6/28/2024,Keyboard,Accessories,East,4,856,783.01,72.99
5/31/2022,Printer,Office,North,2,112,88.67,23.33
3/25/2024,Headphones,Accessories,North,3,2247,1739.21,507.79
1/31/2023,Keyboard,Accessories,West,2,1512,1213.27,298.73
6/23/2024,Mouse,Accessories,South,5,4915,3718.4,1196.6
8/16/2023,Mouse,Accessories,South,3,2709,2045.46,663.54
6/10/2023,Tablet,Electronics,North,7,1239,1120.64,118.36
5/9/2023,Tablet,Electronics,West,2,572,485.84,86.16
5/8/2022,Smartwatch,Electronics,North,2,1708,1614.75,93.25
11/6/2024,Smartwatch,Electronics,North,4,360,317.34,42.66
12/8/2022,Camera,Electronics,North,6,3822,3433.66,388.34
9/25/2022,Camera,Electronics,North,6,4680,3747.03,932.97
7/10/2024,Camera,Electronics,North,5,2520,2032.82,487.18
3/29/2024,Smartwatch,Electronics,North,2,2138,1518.71,619.29
1/11/2022,Keyboard,Accessories,West,3,2529,2359.4,169.6
4/8/2022,Keyboard,Accessories,East,1,236,206.67,29.33
1/21/2024,Tablet,Electronics,West,6,2730,2093.52,636.48
4/27/2023,Headphones,Accessories,North,3,3021,2148.51,872.49
11/6/2024,Smartwatch,Electronics,North,2,244,227.22,16.78
5/11/2022,Camera,Electronics,South,8,728,607.94,120.06
10/2/2022,Mouse,Accessories,North,3,453,363.51,89.49
1/12/2022,Laptop,Electronics,South,1,379,294.62,84.38
1/9/2023,Tablet,Electronics,West,3,2130,1619.31,510.69
5/4/2023,Monitor,Accessories,North,8,4120,3409.89,710.11
9/7/2024,Smartwatch,Electronics,South,7,3150,2850.3,299.7
5/17/2022,Smartwatch,Electronics,East,7,2688,2084.93,603.07
8/17/2023,Tablet,Electronics,East,2,1752,1250.81,501.19
9/7/2023,Keyboard,Accessories,North,7,7308,6359.6,948.4
5/11/2022,Tablet,Electronics,North,3,2007,1846.16,160.84
5/12/2023,Tablet,Electronics,West,7,7224,6744.77,479.23
5/8/2023,Monitor,Accessories,South,9,6939,5689.69,1249.31
2/18/2023,Smartphone,Electronics,East,7,5516,4040.33,1475.67
1/29/2022,Printer,Office,South,2,2224,2107.53,116.47
1/12/2023,Laptop,Electronics,South,5,3985,3160.6,824.4
1/3/2022,Camera,Electronics,North,7,2723,2084.74,638.26
10/20/2022,Tablet,Electronics,North,2,746,575.25,170.75
8/21/2024,Laptop,Electronics,West,5,3170,2924.75,245.25
12/11/2023,Smartwatch,Electronics,East,5,550,486.89,63.11
8/14/2022,Tablet,Electronics,North,8,480,347.55,132.45
6/3/2024,Printer,Office,East,4,3284,2929.6,354.4
1/23/2024,Smartwatch,Electronics,South,2,1748,1564.25,183.75
11/20/2023,Headphones,Accessories,North,8,824,583.16,240.84
3/3/2022,Headphones,Accessories,North,4,1872,1423.54,448.46
2/20/2024,Tablet,Electronics,West,3,627,523.02,103.98
8/9/2024,Camera,Electronics,East,9,5661,4556.98,1104.02
6/19/2022,Camera,Electronics,North,3,2910,2144.53,765.47
9/1/2024,Tablet,Electronics,South,9,9036,7948.54,1087.46
8/30/2024,Tablet,Electronics,West,5,4815,4476.69,338.31
8/12/2022,Mouse,Accessories,South,1,1187,980.72,206.28
8/4/2022,Headphones,Accessories,East,3,3339,2606.08,732.92
2/20/2024,Tablet,Electronics,East,1,620,454.57,165.43
2/26/2023,Camera,Electronics,West,5,2025,1610.58,414.42
11/20/2024,Printer,Office,East,5,3030,2218.08,811.92
8/12/2023,Smartwatch,Electronics,North,5,655,488.31,166.69
1/17/2022,Printer,Office,West,2,2238,1943.46,294.54
4/12/2023,Smartphone,Electronics,South,8,3312,2500.69,811.31
7/26/2023,Printer,Office,East,9,9387,8115.36,1271.64
1/1/2024,Mouse,Accessories,West,6,5790,4504.79,1285.21
12/6/2023,Laptop,Electronics,South,6,2700,2172.03,527.97
12/5/2023,Smartwatch,Electronics,East,8,2072,1516.94,555.06
10/27/2024,Keyboard,Accessories,North,3,2991,2274.46,716.54
8/4/2024,Laptop,Electronics,East,6,5568,4609.41,958.59
2/1/2023,Smartwatch,Electronics,North,7,5509,3860.26,1648.74
6/2/2024,Printer,Office,West,7,5922,4598.9,1323.1
4/28/2024,Smartphone,Electronics,South,4,4380,4017.19,362.81
3/25/2022,Tablet,Electronics,South,5,1760,1487.32,272.68
10/5/2024,Headphones,Accessories,North,9,5571,4047.19,1523.81
12/19/2024,Tablet,Electronics,South,2,1082,899.9,182.1
7/18/2022,Camera,Electronics,East,1,569,430.89,138.11
6/11/2023,Mouse,Accessories,North,8,3416,2718.58,697.42
10/13/2024,Printer,Office,West,1,570,512.93,57.07
8/7/2023,Monitor,Accessories,East,6,3300,2913.08,386.92
12/4/2022,Laptop,Electronics,South,8,2584,2015.23,568.77
2/18/2024,Monitor,Accessories,South,9,7650,5445.56,2204.44
12/5/2024,Headphones,Accessories,West,8,3600,3327.49,272.51
12/15/2023,Monitor,Accessories,West,6,846,655.13,190.87
8/12/2023,Smartphone,Electronics,West,1,51,41.64,9.36
5/20/2024,Smartwatch,Electronics,South,6,7056,6469.09,586.91
6/5/2024,Smartwatch,Electronics,West,2,384,345.59,38.41
1/9/2022,Laptop,Electronics,South,8,2928,2264.46,663.54
12/17/2023,Camera,Electronics,West,7,1904,1551.14,352.86
9/8/2022,Tablet,Electronics,East,2,2314,2001.93,312.07
1/22/2022,Printer,Office,South,4,1028,835.87,192.13
9/4/2024,Headphones,Accessories,South,9,8307,6980.77,1326.23
1/20/2024,Printer,Office,West,9,1539,1335.46,203.54
11/3/2022,Tablet,Electronics,West,7,2506,1968.02,537.98
7/3/2023,Smartphone,Electronics,West,6,5778,4545.46,1232.54
1/25/2024,Tablet,Electronics,East,9,10188,8022.22,2165.78
5/11/2024,Monitor,Accessories,North,1,952,794.3,157.7
1/2/2024,Smartwatch,Electronics,West,8,3624,2873.14,750.86
2/24/2023,Keyboard,Accessories,South,8,7968,6416.88,1551.12
7/20/2024,Mouse,Accessories,South,2,1254,1003.91,250.09
6/14/2023,Printer,Office,West,3,705,508.95,196.05
4/10/2022,Mouse,Accessories,West,1,916,692.5,223.5
10/1/2024,Printer,Office,North,2,848,718.04,129.96
5/10/2022,Monitor,Accessories,East,8,2240,1926.83,313.17
1/28/2022,Monitor,Accessories,South,1,940,819.65,120.35
4/5/2023,Headphones,Accessories,West,5,1550,1346.49,203.51
9/22/2023,Keyboard,Accessories,South,7,2352,2095.6,256.4
8/29/2024,Smartwatch,Electronics,North,9,1638,1454.25,183.75
11/18/2023,Camera,Electronics,North,6,7164,5721.28,1442.72
9/12/2023,Mouse,Accessories,East,1,205,150.46,54.54
5/26/2023,Keyboard,Accessories,North,2,766,716.77,49.23
4/30/2023,Keyboard,Accessories,North,1,168,150.16,17.84
11/1/2024,Mouse,Accessories,South,1,1058,850.45,207.55
5/6/2022,Keyboard,Accessories,South,5,1455,1031.19,423.81
5/10/2023,Camera,Electronics,East,2,2224,1859.96,364.04
11/4/2022,Smartphone,Electronics,West,7,1400,1319.51,80.49
5/9/2022,Smartphone,Electronics,East,7,7567,5353.82,2213.18
11/7/2022,Tablet,Electronics,East,6,3396,2408.32,987.68
8/11/2023,Smartwatch,Electronics,East,2,704,568.37,135.63
10/21/2024,Tablet,Electronics,East,9,7767,5594.81,2172.19
10/6/2024,Mouse,Accessories,West,5,2050,1892.87,157.13
8/8/2023,Monitor,Accessories,North,9,10458,7658.52,2799.48
1/19/2022,Camera,Electronics,South,4,4700,4080.74,619.26
4/30/2024,Smartphone,Electronics,North,2,892,669.49,222.51
12/26/2023,Laptop,Electronics,East,8,6968,5488.91,1479.09
4/7/2024,Laptop,Electronics,North,7,1344,1043.12,300.88
10/18/2022,Camera,Electronics,West,1,354,288.01,65.99
4/21/2024,Monitor,Accessories,South,3,3051,2388.77,662.23
3/26/2024,Camera,Electronics,South,3,402,295.13,106.87
10/31/2022,Monitor,Accessories,North,5,3570,3052.18,517.82
3/3/2023,Keyboard,Accessories,North,7,3829,2952.65,876.35
2/3/2023,Mouse,Accessories,North,7,4676,4433.36,242.64
4/15/2023,Keyboard,Accessories,East,3,1119,801.64,317.36
5/9/2023,Smartphone,Electronics,East,4,4228,3463.7,764.3
1/2/2022,Headphones,Accessories,North,8,1240,988.8,251.2
11/28/2024,Keyboard,Accessories,North,9,3591,3248.82,342.18
2/5/2022,Printer,Office,West,8,3952,3500.92,451.08
6/5/2024,Keyboard,Accessories,South,6,3648,2597.92,1050.08
11/15/2024,Monitor,Accessories,North,5,3875,3106.26,768.74
11/13/2023,Smartwatch,Electronics,West,8,3416,2937.1,478.9
2/19/2022,Tablet,Electronics,West,1,908,685.42,222.58
5/6/2024,Headphones,Accessories,South,4,4532,3544.68,987.32
8/4/2023,Headphones,Accessories,East,4,4168,3517.85,650.15
9/23/2023,Laptop,Electronics,North,3,3543,2601.63,941.37
9/14/2024,Laptop,Electronics,East,6,5124,4045.43,1078.57
3/17/2023,Smartwatch,Electronics,South,9,5751,4554.77,1196.23
9/29/2023,Camera,Electronics,East,2,624,484.36,139.64
12/1/2023,Camera,Electronics,South,1,508,356.71,151.29
9/13/2023,Headphones,Accessories,South,4,4700,3785.4,914.6
3/14/2022,Keyboard,Accessories,West,8,3216,2576.22,639.78
7/15/2023,Laptop,Electronics,West,6,2844,2263,581
5/29/2022,Smartphone,Electronics,West,5,2385,2126.4,258.6
1/16/2023,Monitor,Accessories,South,8,928,757.95,170.05
9/6/2023,Headphones,Accessories,North,6,4656,3982.65,673.35
3/29/2023,Headphones,Accessories,North,2,330,308.54,21.46
11/1/2023,Camera,Electronics,North,7,1799,1524.89,274.11
8/25/2022,Printer,Office,East,1,1029,855.39,173.61
12/30/2022,Headphones,Accessories,North,8,5432,3812.61,1619.39
9/4/2024,Camera,Electronics,West,5,5785,4593.89,1191.11
1/8/2024,Printer,Office,North,1,1062,789.58,272.42
12/27/2022,Keyboard,Accessories,North,1,163,140.93,22.07
4/14/2024,Smartphone,Electronics,West,9,9162,7536.38,1625.62
2/10/2023,Printer,Office,East,4,1440,1309.76,130.24
7/15/2023,Monitor,Accessories,South,5,1465,1315.38,149.62
10/27/2024,Monitor,Accessories,West,2,366,334.77,31.23
7/19/2024,Camera,Electronics,South,5,3135,2857.72,277.28
3/3/2024,Keyboard,Accessories,North,2,630,468.96,161.04
4/12/2024,Monitor,Accessories,South,1,213,170.06,42.94
6/20/2024,Monitor,Accessories,North,4,3792,2699.15,1092.85
6/21/2023,Mouse,Accessories,East,2,1932,1822.93,109.07
1/25/2023,Keyboard,Accessories,West,4,4152,3834.72,317.28
2/17/2024,Smartphone,Electronics,North,7,3612,3082.43,529.57
9/9/2024,Smartphone,Electronics,East,2,2258,1977.24,280.76
7/9/2022,Camera,Electronics,South,3,594,546.27,47.73
9/1/2023,Headphones,Accessories,West,7,8071,6271.94,1799.06
3/30/2024,Keyboard,Accessories,North,7,5838,5206.55,631.45
12/22/2024,Keyboard,Accessories,North,4,692,510.69,181.31
9/8/2024,Keyboard,Accessories,South,3,1704,1394.94,309.06
1/21/2023,Printer,Office,South,5,3235,2293.76,941.24
10/12/2023,Mouse,Accessories,East,6,4746,4200.43,545.57
8/1/2022,Smartwatch,Electronics,South,8,7600,6811.12,788.88
11/3/2023,Smartphone,Electronics,West,5,1935,1806.99,128.01
12/4/2023,Laptop,Electronics,North,3,1638,1331.71,306.29
6/30/2023,Keyboard,Accessories,West,7,4746,3929.4,816.6
2/1/2023,Smartphone,Electronics,North,8,4824,3636.07,1187.93
5/9/2022,Camera,Electronics,South,1,1193,1039.28,153.72
12/16/2023,Laptop,Electronics,East,2,562,469.06,92.94
3/20/2022,Smartphone,Electronics,North,8,6200,4903.16,1296.84
7/28/2024,Printer,Office,North,8,4128,3812.52,315.48
3/28/2022,Printer,Office,East,5,5405,5078.44,326.56
11/6/2024,Laptop,Electronics,North,3,1371,1266.34,104.66
1/1/2023,Keyboard,Accessories,West,5,1405,1210.67,194.33
3/18/2023,Keyboard,Accessories,North,3,1644,1485.68,158.32
9/18/2024,Mouse,Accessories,West,6,3414,3017.08,396.92
8/19/2024,Laptop,Electronics,East,8,3272,2597.43,674.57
6/18/2022,Smartphone,Electronics,North,3,2655,2008.09,646.91
5/29/2022,Smartwatch,Electronics,West,7,1673,1214.68,458.32
6/9/2022,Tablet,Electronics,East,2,846,700.91,145.09
5/3/2023,Smartphone,Electronics,East,1,985,788.36,196.64
11/17/2023,Smartwatch,Electronics,North,9,7551,6656.6,894.4
2/8/2022,Tablet,Electronics,North,5,855,637.84,217.16
10/23/2023,Camera,Electronics,South,2,396,301.45,94.55
8/24/2022,Tablet,Electronics,West,8,2296,1735.52,560.48
5/9/2024,Monitor,Accessories,North,6,1704,1504.06,199.94
3/12/2023,Smartphone,Electronics,East,2,1180,918.84,261.16
10/5/2022,Smartphone,Electronics,East,3,411,355.27,55.73
1/19/2022,Mouse,Accessories,East,1,745,593.78,151.22
5/9/2022,Printer,Office,West,9,10656,9694.7,961.3
5/23/2024,Mouse,Accessories,South,3,1494,1315.5,178.5
7/11/2024,Camera,Electronics,South,5,1755,1396.99,358.01
8/22/2022,Camera,Electronics,South,9,4941,4046.48,894.52
11/3/2024,Smartwatch,Electronics,North,6,6510,4970.82,1539.18
10/11/2024,Smartphone,Electronics,South,5,5465,4745.08,719.92
11/9/2024,Tablet,Electronics,South,3,3522,3236.09,285.91
4/1/2024,Tablet,Electronics,West,6,1656,1516.14,139.86
7/7/2022,Printer,Office,North,5,1255,997.85,257.15
6/10/2023,Keyboard,Accessories,East,1,1192,871.87,320.13
5/15/2023,Tablet,Electronics,West,5,1925,1720.26,204.74
6/8/2022,Tablet,Electronics,West,8,1688,1350.67,337.33
6/26/2023,Headphones,Accessories,South,1,260,243.19,16.81
1/19/2022,Monitor,Accessories,West,5,4880,3629.34,1250.66
4/10/2024,Keyboard,Accessories,West,7,1134,954.26,179.74
6/10/2022,Laptop,Electronics,North,9,9621,8419.71,1201.29
2/3/2023,Monitor,Accessories,South,4,2836,2137.17,698.83
5/15/2023,Printer,Office,North,9,5859,4705.11,1153.89
9/11/2022,Smartwatch,Electronics,South,2,2044,1583.97,460.03
7/1/2023,Monitor,Accessories,South,1,612,437.48,174.52
2/18/2022,Smartwatch,Electronics,North,3,1890,1397.69,492.31
9/30/2023,Smartwatch,Electronics,East,5,2025,1856.18,168.82
9/4/2023,Printer,Office,South,2,1960,1647.94,312.06
7/7/2022,Camera,Electronics,North,6,4410,3516.73,893.27
7/14/2024,Keyboard,Accessories,West,8,8272,5880.12,2391.88
9/27/2022,Smartwatch,Electronics,West,6,5712,5073.71,638.29
4/20/2024,Smartwatch,Electronics,North,6,1524,1345.64,178.36
5/24/2024,Keyboard,Accessories,North,8,5160,4102.59,1057.41
12/29/2024,Mouse,Accessories,East,4,2956,2504.4,451.6
5/7/2023,Smartphone,Electronics,West,8,7944,5686.27,2257.73
9/10/2024,Camera,Electronics,North,5,1815,1279.78,535.22
3/21/2023,Headphones,Accessories,North,3,2706,2159.03,546.97
5/5/2023,Laptop,Electronics,North,2,1356,1211.82,144.18
7/27/2023,Printer,Office,South,6,6384,5194.81,1189.19
6/13/2023,Smartwatch,Electronics,South,9,4248,3283.88,964.12
5/2/2024,Monitor,Accessories,North,6,3954,3277.18,676.82
4/21/2024,Smartphone,Electronics,South,6,7110,6370.4,739.6
7/25/2023,Headphones,Accessories,South,7,8113,7117.97,995.03
1/26/2023,Headphones,Accessories,North,3,1830,1646.38,183.62
1/11/2023,Keyboard,Accessories,West,4,3732,3060.81,671.19
9/27/2024,Mouse,Accessories,West,6,4062,2974.83,1087.17
12/3/2024,Smartwatch,Electronics,North,1,496,402.69,93.31
8/24/2023,Smartwatch,Electronics,East,4,1104,1019.69,84.31
5/19/2023,Smartphone,Electronics,West,3,2274,1612,662
6/13/2022,Smartwatch,Electronics,North,8,4456,3349.96,1106.04
8/26/2022,Mouse,Accessories,West,8,4928,3889.82,1038.18
1/22/2023,Smartphone,Electronics,North,4,1740,1515.21,224.79
